"time","hemisphere","extent","area"
1979-04-01,"north",15450000000000,12530000000000
1980-04-01,"north",15430000000000,12520000000000
1981-04-01,"north",15010000000000,12240000000000
1982-04-01,"north",15470000000000,12630000000000
1983-04-01,"north",15170000000000,12210000000000
1984-04-01,"north",15010000000000,12180000000000
1985-04-01,"north",15360000000000,12540000000000
1986-04-01,"north",15060000000000,12040000000000
1987-04-01,"north",15210000000000,12350000000000
1988-04-01,"north",15120000000000,13180000000000
1989-04-01,"north",14330000000000,12360000000000
1990-04-01,"north",14650000000000,12280000000000
1991-04-01,"north",14860000000000,12870000000000
1992-04-01,"north",14680000000000,12840000000000
1993-04-01,"north",15080000000000,13030000000000
1994-04-01,"north",14890000000000,12910000000000
1995-04-01,"north",14450000000000,12400000000000
1996-04-01,"north",14220000000000,12320000000000
1997-04-01,"north",14560000000000,12570000000000
1998-04-01,"north",14890000000000,12850000000000
1999-04-01,"north",15080000000000,13150000000000
2000-04-01,"north",14560000000000,12600000000000
2001-04-01,"north",14860000000000,13050000000000
2002-04-01,"north",14300000000000,12410000000000
2003-04-01,"north",14510000000000,12460000000000
2004-04-01,"north",13990000000000,12160000000000
2005-04-01,"north",14090000000000,12230000000000
2006-04-01,"north",13910000000000,12040000000000
2007-04-01,"north",13850000000000,11830000000000
2008-04-01,"north",14350000000000,12780000000000
2009-04-01,"north",14500000000000,12920000000000
2010-04-01,"north",14660000000000,12850000000000
2011-04-01,"north",14110000000000,12450000000000
2012-04-01,"north",14630000000000,12870000000000
2013-04-01,"north",14300000000000,12750000000000
2014-04-01,"north",14090000000000,12430000000000
2015-04-01,"north",13890000000000,12330000000000
2016-04-01,"north",13680000000000,11980000000000
2017-04-01,"north",13750000000000,12260000000000
2018-04-01,"north",13700000000000,12280000000000
2019-04-01,"north",13430000000000,11900000000000
2020-04-01,"north",13620000000000,12020000000000
2021-04-01,"north",13790000000000,12180000000000
2022-04-01,"north",13990000000000,12460000000000
2023-04-01,"north",13920000000000,12530000000000
2024-04-01,"north",14040000000000,12560000000000
2025-04-01,"north",13830000000000,12050000000000
2026-04-01,"north",13570000000000,11850000000000
1979-05-01,"north",13860000000000,11110000000000
1980-05-01,"north",13790000000000,10960000000000
1981-05-01,"north",13800000000000,10990000000000
1982-05-01,"north",13970000000000,11170000000000
1983-05-01,"north",13490000000000,10870000000000
1984-05-01,"north",13580000000000,10880000000000
1985-05-01,"north",14070000000000,11250000000000
1986-05-01,"north",13380000000000,10700000000000
1987-05-01,"north",13740000000000,10970000000000
1988-05-01,"north",13560000000000,11410000000000
1989-05-01,"north",13040000000000,11350000000000
1990-05-01,"north",13230000000000,10900000000000
1991-05-01,"north",13470000000000,11500000000000
1992-05-01,"north",13220000000000,11430000000000
1993-05-01,"north",13370000000000,11420000000000
1994-05-01,"north",13620000000000,11660000000000
1995-05-01,"north",12970000000000,10900000000000
1996-05-01,"north",13090000000000,11280000000000
1997-05-01,"north",13180000000000,11240000000000
1998-05-01,"north",13590000000000,11400000000000
1999-05-01,"north",13750000000000,11660000000000
2000-05-01,"north",13150000000000,11240000000000
2001-05-01,"north",13510000000000,11380000000000
2002-05-01,"north",12970000000000,11160000000000
2003-05-01,"north",13020000000000,10890000000000
2004-05-01,"north",12560000000000,10920000000000
2005-05-01,"north",12910000000000,10880000000000
2006-05-01,"north",12520000000000,10450000000000
2007-05-01,"north",12780000000000,10770000000000
2008-05-01,"north",12970000000000,11250000000000
2009-05-01,"north",13190000000000,11480000000000
2010-05-01,"north",12870000000000,10880000000000
2011-05-01,"north",12680000000000,10740000000000
2012-05-01,"north",13010000000000,11050000000000
2013-05-01,"north",13000000000000,11250000000000
2014-05-01,"north",12700000000000,11050000000000
2015-05-01,"north",12470000000000,10900000000000
2016-05-01,"north",11920000000000,10250000000000
2017-05-01,"north",12630000000000,11010000000000
2018-05-01,"north",12230000000000,10810000000000
2019-05-01,"north",12190000000000,10500000000000
2020-05-01,"north",12340000000000,10510000000000
2021-05-01,"north",12680000000000,10860000000000
2022-05-01,"north",12880000000000,11100000000000
2023-05-01,"north",12820000000000,11050000000000
2024-05-01,"north",12740000000000,11070000000000
2025-05-01,"north",12490000000000,10280000000000
2026-05-01,"north",12140000000000,10330000000000
1979-06-01,"north",12530000000000,9340000000000
1980-06-01,"north",12200000000000,9000000000000
1981-06-01,"north",12430000000000,9030000000000
1982-06-01,"north",12480000000000,9460000000000
1983-06-01,"north",12300000000000,9270000000000
1984-06-01,"north",12150000000000,9090000000000
1985-06-01,"north",12220000000000,8960000000000
1986-06-01,"north",11980000000000,8990000000000
1987-06-01,"north",12490000000000,9390000000000
1988-06-01,"north",11940000000000,9680000000000
1989-06-01,"north",12240000000000,9950000000000
1990-06-01,"north",11640000000000,9200000000000
1991-06-01,"north",12110000000000,9660000000000
1992-06-01,"north",12150000000000,9950000000000
1993-06-01,"north",11870000000000,9260000000000
1994-06-01,"north",12020000000000,9680000000000
1995-06-01,"north",11440000000000,8940000000000
1996-06-01,"north",12080000000000,9830000000000
1997-06-01,"north",11740000000000,9200000000000
1998-06-01,"north",11710000000000,9180000000000
1999-06-01,"north",11780000000000,9250000000000
2000-06-01,"north",11670000000000,9050000000000
2001-06-01,"north",11460000000000,9090000000000
2002-06-01,"north",11580000000000,9190000000000
2003-06-01,"north",11600000000000,9110000000000
2004-06-01,"north",11450000000000,9240000000000
2005-06-01,"north",11160000000000,8810000000000
2006-06-01,"north",10920000000000,8410000000000
2007-06-01,"north",11220000000000,8210000000000
2008-06-01,"north",11210000000000,8850000000000
2009-06-01,"north",11320000000000,9250000000000
2010-06-01,"north",10590000000000,8370000000000
2011-06-01,"north",10750000000000,8540000000000
2012-06-01,"north",10670000000000,8160000000000
2013-06-01,"north",11360000000000,8950000000000
2014-06-01,"north",11030000000000,8760000000000
2015-06-01,"north",10880000000000,8700000000000
2016-06-01,"north",10410000000000,8210000000000
2017-06-01,"north",10760000000000,8630000000000
2018-06-01,"north",10780000000000,8790000000000
2019-06-01,"north",10590000000000,8320000000000
2020-06-01,"north",10590000000000,8410000000000
2021-06-01,"north",10770000000000,8390000000000
2022-06-01,"north",10880000000000,8610000000000
2023-06-01,"north",10990000000000,8690000000000
2024-06-01,"north",10850000000000,8600000000000
2025-06-01,"north",10400000000000,8150000000000
1979-07-01,"north",10310000000000,6690000000000
1980-07-01,"north",10100000000000,6530000000000
1981-07-01,"north",10270000000000,6310000000000
1982-07-01,"north",10370000000000,6870000000000
