Jdate,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
175,320.02,164.5201809,679.3288749,1398.268937,337.0386332,293.9018011,241.6688373,172.7461845,100.89,385.3500357,254.1352558,118.9427323,361.2556679,86.81358654,366.1082361,294.0178684,884.8664215,172.7952374,509.2330086,197.4338212,223.3,369.18825,376.3231496,192.14286,249.7414605,845.2954147,351.970347,283.5731444,346.8530235,127.15785,311.34747,684.8856537,551.48559,712.55555,441.02407
176,236.87,160.1004188,632.2957986,1602.097179,386.8135414,341.7681133,249.74,189.3435392,107.45,280.7813246,286.069177,151.5275504,320.8671826,204.09,551.4928698,318.7113646,956.410302,73.36,533.5828336,254.2438215,129.2547175,313.120989,285.0342161,230.38075,112.6586908,886.2291235,370.5880049,208.3391164,426.0174645,323.73698,284.89437,661.29331,567.8958167,541.16613,724.78702
177,293.09,324.5458233,506.3243485,1755.271157,423.5412495,375.8346726,322.66,315.2757957,117.48,183.3398102,258.9144515,122.6,309.3115159,131.43,538.2223144,389.5540417,928.8126356,363.21,499.0781844,724,157.8,400.6185877,141.2518945,137.7310058,164.8343195,1024.213639,461.6613193,232.9976586,363.8200352,401.97289,323.7023934,818.70168,108.4180377,558.41512,634.9099856
178,597.64,180.9382439,599.2479177,1821.883348,474.0304665,397.5724181,240.09,307.7326002,170.2,463.5102804,336.8341447,166.3,283.3419336,432.86,744.974966,472.5927889,792.7732202,276.2459083,775.2810883,550,178.2924164,224.8089193,112.30859,130.66682,207.6141221,891.7546084,380.1193585,438.7049883,452.9516385,292.81387,363.9267494,1010.895,101.70775,566.98496,456.96708
179,453.89,228.7242833,612.9989142,1723.557131,483.7261365,482.9833632,270.11,262.0208843,292.2103318,256.712734,397.6082362,143,315.6276749,375.5796046,536.6277397,354.5895345,933.1137949,284.2115165,583.5661433,640,144.3,258.0348645,134.45347,221.24666,232.9835241,844.5058795,284.5477566,185.732891,467.9546759,284.23281,415.4943482,568.28734,264.6704,911.9964,358.46816
180,570.4,69.46777643,634.3852875,1768.594071,666.402567,390.0971708,182.93,296.8013546,205.9,424.7844222,343.0676255,102.9,287.1932203,362.3019189,485.5053931,362.108628,782.1104131,252.04,416.6777756,670.8096132,121,235.7014119,142.68362,161.1372856,268.1307471,704.8736721,297.4140866,385.1006746,243.0450624,659.64682,468.658196,1225.538091,136.93017,1069.13934,531.65813
181,443.2267728,183.7049706,683.335659,1597.599927,499.6365104,447.0640948,285.77,186.7058269,269.62,333.5464962,267.2492872,106.9,155.7355498,79.94976314,407.8997602,211.3616215,373.6722875,321.27,575.0050138,635,134.6,212.1707357,175.888,147.8004164,266.3043442,857.0641305,576.9242929,357.4693648,622.010932,443.65726,521.0418901,778.2084269,461.8856155,841.69423,179.54537
182,398.7249637,126.7775861,691.878886,1374.932143,497.5583173,439.0408439,223.99,302.738795,99.31229568,378.4535197,227.8721444,97.6,157.1656205,106.08,229.5820821,343.6024676,255.2663117,153.43,541.4678621,640.7887909,370.7,251.4734276,254.67044,129.722133,216.6120281,749.673302,649.8308829,439.0271497,395.2428828,474.86635,558.8980346,679.4077542,439.44127,814.0480535,514.46704
183,354.6150724,368.4171731,569.8486992,1021.327951,367.9960528,464.6764197,310.6666778,500.7571427,289.32,435.5487392,218.568559,111.6810488,149.2874748,162.59,356.0337494,203.260435,427.5416816,193.27,418.3217781,555.7910769,271.1,161.6587942,183.954144,109.3944625,262.4030463,681.9760308,794.4684978,308.7343025,278.6167871,447.1391318,879.7596228,450.60721,524.5755,677.5771056,678.11156
184,465.7251908,164.5110292,584.9347743,795.9387835,523.0930827,357.2001927,251.0822573,157.0710814,165.81,372.0569552,160.0047735,119.0886473,145.7650649,185.3,321.6041954,143.0250839,509.9638328,185.72,271.6897924,475.9009373,355.2,101.83229,241.251032,94.20377,272.145016,813.6318304,842.8772429,280.3992542,808.9781867,291.0451084,656.5037,383.52253,199.46157,790.11361,526.64139
185,215.11,295.697845,545.6049893,701.2620654,372.0383979,419.0285712,431.0213784,286.225687,274.85,384.9606169,86.78718412,65.9,186.949196,197.26,260.9123434,158.9647839,217.2318154,209.9,349.953527,357,208.4,173.45143,152.9384414,41.75396,276.2686931,887.2043245,983.6231443,480.5644664,408.7625746,214.3017,859.31528,510.69805,179.3233873,393.4706126,884.56873
186,179.3150638,169.2567221,474.9492039,558.6946204,299.8789914,439.3493701,199.3639222,315.8545024,206.07,539.2056796,124.664843,68.83199351,122.2753736,228.2913446,469.2147459,216.9402457,329.7047472,181.1,463.0049785,312,191.8,130.8360159,81.1436,86.00253,273.8035579,919.8720118,913.8510992,215.766922,368.1500137,188.03832,856.15632,462.2033,148.0096575,247.98825,659.60673
187,117.8803119,123.0008814,435.1227935,454.5581517,233.4623152,492.9115859,342.3762962,209.6650259,62.07,505.6488709,118.1679853,57.65460457,75.07963095,253.1615508,302.5038669,180.1293882,501.6600412,495.2,529.5015292,223.1631668,172.9,141.7741764,63.64239,42.59683,237.7939342,975.1445184,936.941704,300.8730727,490.2786463,285.95337,814.0195314,477.2579386,189.9503277,653.69198,222.56692
188,73.94293521,167.2329476,376.4156434,283.0173213,250.1572049,301.2781166,115.1156857,157.39,180.08,394.8089252,124.1583901,33.29145186,30.57405858,266.6685365,201.9223001,184.7804611,366.8614378,208.2,315.6540923,137.5275159,215.2,150.6884694,16.06213,41.87465153,265.8616149,1009.806731,875.8263243,346.4862358,463.9502596,250.2889303,661.3853461,556.7952247,115.83683,331.5234,172.1219
189,42.72363942,221.0855009,432.2428308,276.5230299,108.5336039,230.2742782,222.9523666,128.0290247,203.78,346.0914827,78.07895655,32.2503634,52.14781132,273.9038309,199.1715451,190.3773382,413.2979735,229,192.8761523,55.60234009,154.9928651,147.0663155,66.12903,35.41646506,300.7734619,1041.714998,977.1786419,241.0137101,447.5778243,302.75555,578.0979434,508.78461,84.12561,291.7307377,346.58213
190,23.18214379,170.0058654,157.7707803,165.8744347,60.28726346,143.8834002,133.4742767,79.82617626,193.711662,264.3101236,36.96776823,16.48121128,26.70720974,279.9180774,169.4250323,193.3855035,403.5553603,140,132.9097321,8.293595359,130.1090134,151.5875955,77.65224129,29.6423832,189.0296433,1075.98327,947.0649198,146.8821157,442.0351959,47.66154,954.1600983,455.2446948,348.98688,185.2481408,467.46556
191,7.921224234,160.8172404,148.9336642,107.7054111,10.11340582,47.34255283,97.45877118,35.07158625,206.4090251,188.3723114,5.185356025,6.801890568,18.84858363,281.5874851,113.464842,196.5913252,412.9125843,97.24925847,41.87461157,0,108.6165487,154.8824911,100.990992,24.3601261,185.3715037,921.5202329,850.2075055,238.0544927,435.9001361,156.2798427,313.3278357,233.6151692,156.56783,189.84505,244.93998
192,0,150.366411,80.323632,66.44040613,0,0,59.47510113,3.318620763,214.4426729,130.4057311,3.51289969,0.505578593,20.33910631,273.8805225,73.20059672,199.804092,428.4633998,34.883891,0,0,85.34473314,156.9677289,120.1172185,20.18904445,159.6022324,947.8713535,568.3015381,370.3499559,428.6352665,290.2177539,230.0723193,640.08011,507.09886,177.98029,125.0124948
193,0,138.907789,23.88235145,40.26859448,0,0,20.00172271,0,218.0991668,83.46985313,0.980913006,0,22.00295276,257.7469435,48.55606393,202.7683659,447.5850127,0,0,0,60.58384855,160.2197389,134.6078589,16.55175306,126.8217269,896.3480256,594.8452535,266.6180701,419.1682106,202.6468578,277.8084621,307.7258082,103.025,102.13434,109.6515436
194,0,126.7049971,0,29.84995731,0,0,0,0,217.9717552,43.39383254,0,0,22.90152131,234.4351539,28.23437676,207.0778742,468.5243335,0,0,0,34.60789189,163.0316367,144.7994219,13.03624616,95.85749105,846.4797947,465.6637639,268.3238984,407.8692127,220.6764082,227.6781614,176.7852248,121.604992,159.60712,52.86553079
195,0,113.981601,0,19.16657493,0,0,0,0,214.6592422,12.4356724,0,0,22.98462823,215.4745826,12.77995343,211.3235602,490.1532676,0,0,0,15.12630738,164.5050029,152.761665,9.632459866,65.55442005,795.7136917,408.6087303,269.7530772,394.6180161,186.6337456,110.8145798,208.8866237,73.50746665,139.431497,17.1155312
196,0,100.9139677,0,8.725848891,0,0,0,0,208.6802332,0,0,0,23.06561812,190.6592736,2.78726751,214.9846115,511.7213205,0,0,0,1.47202134,167.1421944,158.910115,6.333990171,36.9883225,741.2617901,368.7013648,270.7488507,379.5967741,209.6391449,52.72437833,81.73037157,29.39170471,143.1826358,0.692157566
197,0,87.63717775,0,3.399818038,0,0,0,0,200.4618502,0,0,0,22.66166936,164.2650792,0,219.6231186,532.7058565,0,0,0,0,169.0891358,161.683677,3.35675951,14.1076598,684.868537,333.5680294,271.2718502,363.0322918,256.1388243,28.93330483,32.79800054,1.072841086,150.5221316,0
198,0,74.25356029,0,0,0,0,0,0,190.3510296,0,0,0,21.63475892,140.5239713,0,223.9740549,552.7306879,0,0,0,0,169.7008584,161.5416416,1.271176484,0.455045026,636.5806259,303.5133383,271.3392706,345.1607662,196.424131,11.38853978,2.298943325,0,160.376601,0
